,Status,Beds,Baths,SQFT,Acres,Price,Address,City
1058,Contingent,3,2,"1,566","6,534","$324,888","4025 Summerstone Dr, ","Columbus, OH 43230"
1059,Contingent,3,3,"1,696","1,742","$340,000","5326 Branscom Blvd, ","Westerville, OH 43081"
1060,Contingent,3,2,"2,016","5,227","$420,000","278 S Monroe Ave, ","Columbus, OH 43205"
1061,Contingent,3,1.5,"1,362","9,148","$269,900","4813 Wendler Blvd, ","Columbus, OH 43230"
1062,For Sale,3,1.5,"1,362",0.28,"$315,000","8223 Laramie Pl, ","Powell, OH 43065"
1063,Contingent,3,2.5,"1,878","6,534","$285,000","1940 McDowell Ridge Dr, ","Columbus, OH 43223"
1064,Contingent,3,2,"1,434","7,841","$285,000","8836 Minturn Ct, ","Powell, OH 43065"
1065,For Sale,2,2.5,"2,248",0.38,"$735,000","250 Daniel Burnham Sq Unit 256, ","Columbus, OH 43215"
1066,For Sale,2,1,"1,048","4,356","$125,000","1405 E 20th Ave, ","Columbus, OH 43211"
1067,For Sale,3,2,"1,946","5,227","$173,500","686 S Ohio Ave, ","Columbus, OH 43205"
1068,For Sale,2,1.5,"1,024",436,"$175,900","1940 Slaton Ct, ","Columbus, OH 43235"
1069,Contingent,3,1,936,"7,405","$179,900","3315 Fontaine Rd, ","Columbus, OH 43232"
1070,Contingent,3,1,"1,053","4,356","$301,550","574 Tibet Rd, ","Columbus, OH 43202"
1071,Contingent,3,2,"1,933","3,049","$534,900","81 E Lincoln St, ","Columbus, OH 43215"
1072,For Sale,2,2.5,"1,024",436,"$240,000","2066 Coleman Dr Unit 3A, ","Columbus, OH 43235"
1073,Contingent,3,2,"1,362",0.42,"$269,900","191 Maple Dr, ","Columbus, OH 43228"
1074,Contingent,3,1.5+,"1,296",436,"$184,900","546 Clairbrook Ave Unit JD13, ","Columbus, OH 43228"
1075,Contingent,2,2.5,"1,906","2,178","$305,000","5399 Bennington Woods Ct, ","Columbus, OH 43220"
1076,For Sale,3,2.5,"1,505","3,485","$439,900","520 W 2nd Ave, ","Columbus, OH 43201"
1077,Contingent,3,1.5,"1,784",0.26,"$225,000","7759 Stoneford Dr, ","Columbus, OH 43235"
1078,Contingent,3,2,"1,168","8,276","$400,000","3313 Redding Rd, ","Columbus, OH 43221"
1079,Contingent,3,2.5,"1,672","1,307","$350,000","5740 Albany Reserve Dr, ","Westerville, OH 43081"
1080,For Sale,4,"2,240","3,920",,"$185,000","564-566 Kelton Ave, ","Columbus, OH 43205"
1081,Contingent,3,1.5,"1,668","3,920","$460,000","42 Thurman Ave, ","Columbus, OH 43206"
1082,Contingent,3,2.5,"1,677","5,663","$385,000","2326 Hetter St, ","Columbus, OH 43228"
1083,Contingent,3,2.5,"2,414","8,276","$375,000","3665 Whitworth Way, ","Columbus, OH 43228"
1084,For Sale,3,1.5,"1,735","4,356","$442,500","533 E Beck St, ","Columbus, OH 43206"
1085,Contingent,4,2.5,"1,470","5,663","$200,000","640 S 22nd St, ","Columbus, OH 43205"
1086,Contingent,4,2.5,"2,191","7,841","$435,000","7608 Seddon Dr, ","Dublin, OH 43016"
1087,For Sale,3,1,"1,221",4.67,"$475,000","1753 N Hague Ave, ","Columbus, OH 43204"
1088,For Sale,8,"6,600","5,227",,"$525,000","1016 Studer Ave Unit 1018, ","Columbus, OH 43206"
1089,Contingent,3,1,936,"7,405","$174,900","3585 Wyncote Rd, ","Columbus, OH 43232"
1090,Contingent,2,1,888,"6,098","$225,000","192 E Woodrow Ave, ","Columbus, OH 43207"
1091,Contingent,3,2.5+,"2,512",0.27,"$425,000","6463 Gossamer Ct, ","Westerville, OH 43081"
1092,For Sale,3,1,"1,312",0.25,"$315,000","2778 Floribunda Dr, ","Columbus, OH 43209"
1093,Contingent,3,1.5,"1,236",436,"$135,000","1296 Lowland Ct, ","Columbus, OH 43204"
1094,For Sale,3,1.5,"2,142",1.59,"$579,900","5847 Taylor Rd, ","Gahanna, OH 43230"
1095,For Sale,2,1.5,"1,499","1,742","$475,000","448 W Nationwide Blvd Apt 220, ","Columbus, OH 43215"
1096,For Sale,2,1.5,"1,241","4,792","$485,000","438 E Columbus St, ","Columbus, OH 43206"
1097,For Sale,10,"4,196","7,841",,"$424,900","228 S Highland Ave Unit 30, ","Columbus, OH 43223"
1098,For Sale,3,1.5,"1,238","3,920","$185,000","597 Seymour Ave, ","Columbus, OH 43205"
1099,For Sale,3,1.5,"1,234","3,920","$152,414","166 N Harris Ave, ","Columbus, OH 43204"
1100,For Sale,2,2,"1,080","6,534","$120,000","4080 Atlanta Dr, ","Columbus, OH 43228"
1101,For Sale,3,2,"1,616","9,148","$439,900","390 E Beaumont Rd, ","Columbus, OH 43214"
1102,For Sale,2,1,822,"5,227","$125,000","1476 S Champion Ave, ","Columbus, OH 43207"
1103,Contingent,2,2.5,"1,371",436,"$260,000","7185 Steel Dust Dr Unit 24-718, ","New Albany, OH 43054"
1104,Contingent,3,1,879,"8,712","$214,267","795 Colton Rd, ","Columbus, OH 43207"
1105,For Sale,3,1,900,"7,841","$194,900","1256 Beechwood Rd, ","Columbus, OH 43227"
1106,Contingent,3,1.5,"1,386",0.29,"$325,000","1985 Plains Blvd, ","Powell, OH 43065"
1107,Contingent,3,2,"1,234","9,148","$300,000","4928 Muleady Ct, ","Columbus, OH 43221"
1108,For Sale,3,1,"1,199","3,920","$209,900","1971 Reese Ave, ","Columbus, OH 43207"
1109,Contingent,2,2,"1,620","1,742","$569,500","448 W Nationwide Blvd Apt 222, ","Columbus, OH 43215"
1110,Contingent,4,2.5,"2,687","8,276","$424,900","2168 Surrywood Dr, ","Dublin, OH 43016"
1111,Contingent,2,1,"1,438","6,534","$319,000","540 Richards Rd, ","Columbus, OH 43214"
1112,Contingent,3,1.5,"1,638","9,583","$249,900","2885 Yankee Doodle Dr, ","Reynoldsburg, OH 43068"
1113,Contingent,2,2,"1,469","1,742","$340,000","4204 Windbud Dr Unit 7-4204, ","New Albany, OH 43054"
1114,For Sale,3,1.5,"1,153","8,276","$169,900","1831 Mareco Pl E, ","Columbus, OH 43207"
1115,For Sale,3,1,"1,406","7,841","$195,000","1092 S Yearling Rd, ","Columbus, OH 43227"
1116,For Sale,2,2.5,"2,685","6,534","$415,000","1708 Bryden Rd, ","Columbus, OH 43205"
1117,For Sale,3,1.5,"1,194","7,841","$304,700","4151 Crosspointe Dr, ","Columbus, OH 43207"
1118,Contingent,3,2,"1,152",,"$82,000","4097 Martinsburg Dr, ","Columbus, OH 43207"
1119,For Sale,2,1.5,"1,100",436,"$139,000","5752 Hallridge Cir Unit 29, ","Columbus, OH 43232"
1120,For Sale,4,"1,484","4,356",,"$175,000","1496 E 23rd Ave, ","Columbus, OH 43211"
1121,Contingent,3,1.5+,"1,581","2,178","$189,900","3845 Julia Ct, ","Columbus, OH 43230"
1122,For Sale,3,1,"1,161","4,792","$325,000","550 E Kelso Rd, ","Columbus, OH 43202"
1123,Contingent,2,2.5,"1,283",871,"$209,900","657 Olde Towne Ave Unit 15-657, ","Columbus, OH 43214"
1124,For Sale,4,"1,922","4,792",,"$485,000","1464-1466 Ashland Ave, ","Columbus, OH 43212"
1125,For Sale,3,2.5,"2,100",,"$399,900","5682 Medalist, ","Columbus, OH 43230"
1126,Contingent,3,1.5+,"1,872","7,405","$249,900","1310 Peppercorn Dr, ","Galloway, OH 43119"
1127,For Sale,2,1,806,"4,792","$159,900","1209 Aberdeen Ave, ","Columbus, OH 43211"
1128,Contingent,3,2,"2,082",0.33,"$279,500","2947 Daisy Ln, ","Columbus, OH 43204"
1129,For Sale,3,1,"1,335","4,356","$229,000","145 E Morrill Ave, ","Columbus, OH 43207"
1130,Contingent,"44,336",0.27,,,"$12,000,000","309 S 4th St, ","Columbus, OH 43215"
1131,Contingent,3,2,956,0.5,"$209,900","3541 S Champion Ave, ","Columbus, OH 43207"
1132,Contingent,2,2,"1,702",,"$415,000","1300 Northwest Blvd Apt 305, ","Columbus, OH 43212"
1133,Contingent,4,2.5+,"2,950",0.31,"$459,500","800 Graylock Ct, ","Galloway, OH 43119"
1134,For Sale,Studio,952,"4,356",,"$177,000","285 E Markison Ave, ","Columbus, OH 43207"
1135,Contingent,3,2.5,"1,783",0.26,"$339,900","6012 Radekin Rd, ","Columbus, OH 43232"
1136,Contingent,3,2.5,"1,720",0.43,"$350,000","611 Jonsol Ct, ","Columbus, OH 43230"
1137,Contingent,4,2.5+,"2,505","9,148","$509,900","3073 Hemlock Edge Dr, ","Hilliard, OH 43026"
1138,Contingent,3,2,"1,205","6,970","$244,900","6080 Leafridge Ln, ","Columbus, OH 43232"
1139,Contingent,3,1,936,"7,405","$175,000","3301 Faycrest Rd, ","Columbus, OH 43232"
1140,For Sale,2,1,"1,036","4,792","$206,500","657 Southwood Ave, ","Columbus, OH 43207"
1141,Contingent,2,1.5,436,,"$119,900","2287 Laurelwood Dr, ","Columbus, OH 43229"
1142,For Sale,2,2,"1,422",,"$348,500","221 N Front St Apt 405, ","Columbus, OH 43215"
1143,For Sale,6,3,"2,776",0.38,"$549,000","4168 Rowanne Rd, ","Columbus, OH 43214"
1144,For Sale,3,2,"1,436","7,405","$145,000","1568 Brooks Ave, ","Columbus, OH 43211"
1145,Contingent,2,2,"1,629","6,534","$399,900","167 Arden Rd, ","Columbus, OH 43214"
1146,For Sale,2,1.5,"1,200",0.47,"$247,000","1000 Urlin Ave Unit 11, ","Columbus, OH 43212"
1147,For Sale,2,1,"2,596",0.31,"$350,000","4850 Ridge St, ","Columbus, OH 43207"
1148,Contingent,3,2,"1,528","6,098","$289,900","1517 Anderley Rd, ","Grove City, OH 43123"
1149,Contingent,3,1,988,0.33,"$189,000","2233 Homewood Ave, ","Columbus, OH 43223"
1150,For Sale,5,2.5,"1,465",0.24,"$169,000","2596 Diane Pl, ","Columbus, OH 43207"
1151,Contingent,5,4.5,"2,441",0.34,"$409,000","1465 Lockbourne Rd, ","Columbus, OH 43206"
1152,Contingent,4,2,"2,316","7,405","$499,000","2676 Welsford Rd, ","Columbus, OH 43221"
1153,Contingent,3,2.5,"1,903","8,712","$390,000","4083 Guston Pl, ","Gahanna, OH 43230"
1154,For Sale,4,2.5,"1,668","8,276","$299,900","1081 S Hague Ave, ","Columbus, OH 43204"
1155,Contingent,6,3,"2,454",0.34,"$449,900","315 Caro Ln, ","Columbus, OH 43230"
1156,Contingent,4,2.5,"2,372",0.28,"$402,000","2816 Shellwick Ct, ","Columbus, OH 43235"
1157,For Sale,2,1,798,"3,485","$102,900","1445 Gibbard Ave, ","Columbus, OH 43219"
1158,For Sale,2,2,"1,496",0.46,"$495,000","1145 N High St Unit 207, ","Columbus, OH 43201"
1159,Contingent,3,1.5,"1,591","4,356","$269,000","2354 N 4th St, ","Columbus, OH 43202"
1160,For Sale,3,1.5,"1,246","6,970","$170,000","1387 Gertrude Dr, ","Columbus, OH 43227"
1161,Contingent,4,3,"2,744",0.41,"$725,000","2579 Middlesex Rd, ","Upper Arlington, OH 43220"
1162,Contingent,3,2.5,"1,473","6,970","$279,900","456 Lamesa Dr, ","Blacklick, OH 43004"
1163,Contingent,3,2,"1,750","6,098","$229,900","2726 Saint Patrick Rd, ","Columbus, OH 43204"
1164,Contingent,4,1.5,"1,851","6,098","$234,900","1429 Old Hickory Dr, ","Columbus, OH 43223"
1165,For Sale,3,1,"1,382","9,148","$149,900","3403 E Deshler Ave, ","Columbus, OH 43227"
1166,Contingent,3,2,"1,604",0.25,"$269,900","1674 Sandalwood Pl, ","Columbus, OH 43229"
1167,Contingent,3,3,"2,030","6,970","$350,000","654 Thornbush Dr, ","Blacklick, OH 43004"
1168,Contingent,3,2.5,"1,868","7,405","$292,000","1670 Carrigallen Ln, ","Columbus, OH 43228"
1169,Contingent,"6,858","3,485",,,"$975,000","28-32 Buttles Ave, ","Columbus, OH 43215"
1170,For Sale,2,1,960,0.29,"$139,900","2068 Agler Rd, ","Columbus, OH 43224"
1171,For Sale,2,2.5,"1,610","1,742","$290,000","1620 E Broad St Apt 1405, ","Columbus, OH 43203"
1172,Contingent,3,2.5,"1,260","6,534","$250,900","1385 Hackworth St, ","Columbus, OH 43207"
1173,Contingent,3,1.5+,"1,630",0.23,"$359,900","203 E Stanton Ave, ","Columbus, OH 43214"
1174,Contingent,3,2.5,"2,114","7,405","$386,900","7688 Eagle Creek Dr, ","Pickerington, OH 43147"
1175,For Sale,4,2.5,"1,927","7,841","$415,000","552 Indian Summer Dr, ","Columbus, OH 43214"
1176,For Sale,6,3,"2,888",1,"$399,999","1248 Richter Rd, ","Columbus, OH 43223"
1177,Contingent,3,1.5,"1,560","9,148","$360,000","3642 Pinwherry Ct, ","Columbus, OH 43221"
1178,Contingent,3,1,"1,818",0.78,"$270,000","966 Taylor Rd, ","Columbus, OH 43230"
1179,For Sale,3,1,912,"7,405","$169,900","3578 Rodell Rd, ","Columbus, OH 43232"
1180,For Sale,3,2.5,"2,633",,"$745,900","5285 Highpointe Lakes Dr Unit 3405, ","Westerville, OH 43081"
1181,For Sale,3,2.5,"1,336","4,792","$334,900","1389 S Ohio Ave, ","Columbus, OH 43206"
1182,Contingent,4,3,"2,076",0.28,"$395,000","1142 Shady Hill Dr, ","Columbus, OH 43221"
1183,Contingent,3,2.5,"1,696",0.23,"$387,500","669 Beautyview Ct, ","Columbus, OH 43214"
1184,Contingent,3,2,"1,350","7,405","$379,900","2253 Bristol Rd, ","Columbus, OH 43221"
1185,For Sale,4,"4,050","8,712",,"$394,900","243 N James Rd, ","Columbus, OH 43213"
1186,Contingent,3,1.5,"1,694","8,276","$324,900","5784 Nike Dr, ","Hilliard, OH 43026"
1187,Contingent,2,1.5,"1,312","4,356","$509,000","1024 Michigan Ave, ","Columbus, OH 43201"
1188,For Sale,3,2.5,"1,469","4,356","$299,999","2505 Tree Knoll Ct, ","Columbus, OH 43219"
1189,For Sale,5,2,"3,253","5,227","$550,000","392 Alden Ave, ","Columbus, OH 43201"
1190,Contingent,4,2.5,"2,559",0.26,"$599,900","6919 Linbrook Blvd, ","Columbus, OH 43235"
1191,For Sale,4,2.5,"2,611","4,356","$114,900","350 E Innis Ave Unit 352, ","Columbus, OH 43207"
1192,For Sale,3,3,"2,741",0.27,"$749,900","246 N Delta Dr, ","Columbus, OH 43214"
1193,Contingent,2,1,"1,008",436,"$205,000","427 S 17th St, ","Columbus, OH 43205"
1194,Contingent,2,1.5,"1,056",436,"$200,000","2563 Scioto View Ln Unit J, ","Columbus, OH 43221"
1195,Contingent,3,1.5,"1,552","9,583","$420,000","2811 Kensington Pl E, ","Columbus, OH 43202"
1196,For Sale,140,"53,133",3.69,,"$5,500,000","4090 Cleveland Ave, ","Columbus, OH 43224"
1197,Contingent,3,2.5,"2,228","3,920","$400,000","5689 Gingrey Rd, ","Dublin, OH 43016"
1198,Contingent,2,2,962,0.32,"$285,000","544 S Front St Apt 206, ","Columbus, OH 43215"
1199,For Sale,2,2.5,"2,236",0.44,"$674,900","155 W Main St Apt 1803, ","Columbus, OH 43215"
1200,Contingent,4,"1,960","4,356",,"$149,900","478-480 Clarendon Ave, ","Columbus, OH 43223"
1201,For Sale,4,2.5,"2,744",0.34,"$765,000","3777 Walhaven Rd, ","Columbus, OH 43220"
1202,For Sale,3,1.5,"1,674","5,663","$349,000","800 Fairwood Ave, ","Columbus, OH 43205"
1203,Contingent,6,"2,700","3,920",,"$340,000","122 Brunson Ave Unit 4, ","Columbus, OH 43203"
1204,Contingent,3,2,"1,115","7,405","$175,000","4762 Sullivant Ave, ","Columbus, OH 43228"
1205,For Sale,3,2,780,"9,148","$331,000","513 Morse Rd, ","Columbus, OH 43214"
1206,For Sale,6,"2,230","7,841",,"$225,000","121-123 N Hampton Rd, ","Columbus, OH 43213"
1207,Contingent,5,"1,625","8,712",,"$269,900","4960-4692 Northtowne Blvd, ","Columbus, OH 43229"
1208,For Sale,5,2,"1,686","3,920","$344,900","2137 Indiana Ave, ","Columbus, OH 43201"
1209,Contingent,3,1,968,"3,485","$199,900","1361 City Park Ave, ","Columbus, OH 43207"
1210,Contingent,3,1,"1,982","6,534","$379,900","332 Mimring Rd, ","Columbus, OH 43202"
1211,Contingent,4,6.5+,"5,263",0.79,"$1,295,000","347 Morgan Ln, ","Gahanna, OH 43230"
1212,Contingent,2,1.5,"1,030",436,"$207,000","902 Upholland Ln Unit 17A, ","Worthington, OH 43085"
1213,For Sale,5,5.5,"4,940",0.55,"$2,675,000","3007 Avalon Rd, ","Upper Arlington, OH 43221"
1214,Contingent,7,5,"3,679",0.36,"$525,000","7168 Linworth Rd, ","Columbus, OH 43235"
1215,Contingent,3,2.5,"1,766","4,792","$280,000","680 Wilson Ave, ","Columbus, OH 43205"
1216,Contingent,5,2.5,"2,556","6,098","$485,000","3655 Weston Pl, ","Columbus, OH 43214"
1217,For Sale,3,1,"1,008","3,049","$234,900","628 Reynolds Ave, ","Columbus, OH 43201"
1218,For Sale,3,1,"1,008","6,098","$289,103","103 E Patterson Ave, ","Columbus, OH 43202"
1219,Contingent,3,2.5,"1,636","4,356","$215,000","1455 E 26th Ave, ","Columbus, OH 43211"
1220,For Sale,4,1,"1,293","3,920","$135,000","346 S Wheatland Ave, ","Columbus, OH 43204"
1221,Contingent,4,"1,732","5,227",,"$199,000","371 S Napoleon Ave Unit 373, ","Columbus, OH 43213"
1222,For Sale,3,1,"1,232","4,356","$169,000","888 Miller Ave, ","Columbus, OH 43206"
1223,Contingent,3,1.5,"1,384","8,276","$299,900","4017 Declaration Dr, ","Columbus, OH 43230"
1224,Contingent,3,1,"1,104",0.29,"$219,888","1474 Simpson Dr, ","Columbus, OH 43227"
1225,Contingent,2,1.5,"1,166","3,485","$195,900","131 N Yale Ave, ","Columbus, OH 43222"
1226,Contingent,3,2,"1,148","7,405","$267,500","4760 Coachford Dr, ","Columbus, OH 43231"
1227,For Sale,4,1,"1,280","4,356","$129,000","1680 Parsons Ave, ","Columbus, OH 43207"
1228,For Sale,3,1.5,"2,116",871,"$499,000","258 E Deshler Ave, ","Columbus, OH 43206"
1229,For Sale,2,2.5,"1,386",,"$498,800","51 N High St Unit 402, ","Columbus, OH 43215"
1230,Contingent,2,1.5,"1,139",871,"$249,900","1159 Park Dr Unit 201, ","Columbus, OH 43230"
1231,Contingent,3,2,"1,500","6,098","$245,000","951 Whitethorne Ave, ","Columbus, OH 43223"
1232,For Sale,4,2.5,"2,652","4,356","$1,349,900","243 E Whittier St, ","Columbus, OH 43206"
1233,Contingent,3,3,"1,898","2,614","$357,000","8026 Flint Run Pl, ","Columbus, OH 43235"
1234,Contingent,2,1.5,"1,088",436,"$185,000","4770 Merrifield Pl Unit 31, ","Columbus, OH 43220"
1235,Contingent,4,3.5,"3,068",0.3,"$500,000","1189 Leicester Pl, ","Columbus, OH 43235"
1236,For Sale,2,2,"1,750","5,227","$395,000","7191 Lehman Park Place Private St, ","Canal Winchester, OH 43110"
1237,For Sale,3,2.5,"2,342","9,583","$365,000","2849 Sussex Place Dr, ","Grove City, OH 43123"
1238,For Sale,3,1,984,"3,920","$165,000","476 E Hinman Ave, ","Columbus, OH 43207"
1239,For Sale,6,1.5+,"3,236",0.26,"$299,900","91 Winner Ave, ","Columbus, OH 43203"
1240,Contingent,3,2,"1,336","6,970","$219,900","1618 E Fulton St, ","Columbus, OH 43205"
1241,For Sale,4,2.5,"1,373","6,098","$150,000","152 Columbian Ave, ","Columbus, OH 43223"
1242,Contingent,4,2.5,"1,788",0.33,"$295,900","1395 Restwood Ct, ","Columbus, OH 43204"
1243,Contingent,3,1.5,"1,741","7,405","$310,000","7681 Yosemite Dr, ","Worthington, OH 43085"
1244,Contingent,3,2.5,"1,164","6,534","$285,000","6059 Chidley St, ","Galloway, OH 43119"
1245,For Sale,4,1,"1,621","6,098","$289,900","422 Chittenden Ave, ","Columbus, OH 43201"
1246,Contingent,3,2.5,"1,936","3,049","$319,900","7919 Ashenden Dr, ","Blacklick, OH 43004"
1247,Contingent,2,2,"1,404",871,"$249,900","5014 Ivyvine Blvd, ","Dublin, OH 43016"
1248,Contingent,3,2,"1,598","5,227","$300,000","778 Miller Ave, ","Columbus, OH 43205"
1249,Contingent,4,2,"1,210",0.3,"$185,000","1743 Linnet Ave, ","Columbus, OH 43223"
1250,Contingent,3,2,"1,687","4,356","$324,900","602 E Royal Forest Blvd, ","Columbus, OH 43214"
1251,Contingent,3,1.5,"1,339","6,534","$439,900","1608 Westwood Ave, ","Columbus, OH 43212"
1252,For Sale,2,2,920,"3,485","$135,000","480 S Warren Ave, ","Columbus, OH 43204"
1253,For Sale,3,2,"1,681","4,792","$245,000","1519 Aberdeen Ave, ","Columbus, OH 43211"
1254,For Sale,2,1.5,"1,032","3,049","$349,900","963 E Mound St, ","Columbus, OH 43205"
1255,Contingent,3,2.5,"1,360","3,485","$241,500","4869 Herndon Dr, ","Columbus, OH 43221"
1256,For Sale,2,1,"1,040","3,485","$99,000","455 S Ogden Ave, ","Columbus, OH 43204"
1257,Contingent,4,2,"1,456","6,970","$239,900","1563 Basil Dr, ","Columbus, OH 43227"
1258,For Sale,2,1,"1,056","3,485","$200,000","246 S Skidmore St, ","Columbus, OH 43215"
1259,For Sale,2,1,"1,620","3,485","$344,900","258 S Skidmore St, ","Columbus, OH 43215"
1260,Contingent,3,1,840,"4,792","$165,000","2627 Pontiac St, ","Columbus, OH 43211"
1261,Contingent,4,2.5,"1,948","8,712","$325,000","7529 Twisted Bark Dr, ","Canal Winchester, OH 43110"
1262,Contingent,3,1.5,"1,248","8,276","$199,000","289 Nashoba Ave, ","Columbus, OH 43223"
1263,For Sale,3,3.5,"2,462",871,"$769,900","1014 Perry St Unit 9-1014, ","Columbus, OH 43201"
1264,Contingent,4,3,"1,528","9,583","$335,000","3252 Middleboro Way, ","Dublin, OH 43017"
1265,For Sale,3,3.5,"2,000","9,148","$364,900","7350 Serenoa Dr, ","Reynoldsburg, OH 43068"
1266,For Sale,2,1,812,"5,227","$130,000","2432 Joyce Ave, ","Columbus, OH 43211"
1267,For Sale,2,2,"2,045","2,614","$595,000","78 E Chestnut St Apt 108, ","Columbus, OH 43215"
1268,Contingent,2,1,903,"1,307","$99,999","2471 Natchez Dr, ","Columbus, OH 43209"
1269,Contingent,3,2.5,"1,300","3,920","$324,900","337 E Welch Ave, ","Columbus, OH 43207"
1270,For Sale,3,1.5,"1,344","3,920","$185,000","1209 Oakwood Ave, ","Columbus, OH 43206"
1271,For Sale,2,2,"1,163","7,841","$245,000","1438 E Gates St, ","Columbus, OH 43206"
1272,Contingent,2,1.5+,"1,386","1,307","$265,000","5315 Bethel Park Dr, ","Columbus, OH 43235"
1273,For Sale,3,2,"1,540","4,792","$187,000","1260 Parsons Ave, ","Columbus, OH 43206"
1274,Contingent,3,2,"1,820","7,405","$469,900","2533 Bristol Rd, ","Upper Arlington, OH 43221"
1275,For Sale,"2,576","4,356",,,"$300,000","1313 Parsons Ave Unit 15, ","Columbus, OH 43206"
1276,For Sale,20,"6,400","9,583",,"$800,000","812 Manning Ave, ","Columbus, OH 43205"
1277,Contingent,2,2.5+,"1,917",871,"$295,000","8008 Ravine Run Ln Unit 8008, ","Columbus, OH 43235"
1278,Contingent,2,2,"1,389","3,049","$460,000","416 Stewart Ave, ","Columbus, OH 43206"
1279,Contingent,4,2.5,"2,228","6,098","$435,000","9255 Windy Creek Dr, ","Columbus, OH 43240"
1280,For Sale,3,1.5,"1,596","4,356","$324,500","903 Linwood Ave, ","Columbus, OH 43206"
1281,For Sale,3,1,"1,144","3,485","$155,000","1107 Stanley Ave, ","Columbus, OH 43206"
1282,Contingent,3,2,"1,192","7,405","$237,900","1052 Wildwood Ave, ","Columbus, OH 43219"
1283,Contingent,4,2.5,"2,447",0.33,"$425,000","3125 Heather Meadow Pl, ","Hilliard, OH 43026"
1284,For Sale,3,1,"1,006","5,663","$159,900","2339 Pontiac St, ","Columbus, OH 43211"
1285,Contingent,1,1,"1,010","1,307","$270,000","2403 Keep Pl, ","Columbus, OH 43204"
1286,Contingent,3,2.5,"1,240","6,534","$295,000","7720 Solomen Run Dr, ","Blacklick, OH 43004"
1287,Contingent,2,1,"1,055","6,534","$349,919","945 Sells Ave, ","Columbus, OH 43212"
1288,For Sale,4,2,"1,412","5,663","$280,000","841 E Lincoln Ave, ","Columbus, OH 43229"
1289,Contingent,2,2,"1,335","3,920","$319,900","5983 Haydens Crossing Blvd, ","Dublin, OH 43016"
1290,For Sale,4,1.5,"1,588","3,485","$272,500","127 Clinton St, ","Columbus, OH 43202"
1291,For Sale,2,1,"1,384","3,920","$160,000","61 Dakota Ave, ","Columbus, OH 43222"
1292,Contingent,2,2.5,"1,442","3,485","$275,000","5663 Battle Creek Way, ","Columbus, OH 43228"
1293,Contingent,3,2.5,"1,644","6,534","$299,500","2378 Lyncross St, ","Grove City, OH 43123"
1294,Contingent,5,1,"1,576","8,276","$195,000","1260 Elderwood Ave, ","Columbus, OH 43227"
1295,For Sale,2,1,973,"5,227","$139,000","1452 Loretta Ave, ","Columbus, OH 43211"
1296,For Sale,2,1,"1,259","4,792","$199,900","255 Dana Ave, ","Columbus, OH 43223"
1297,Contingent,3,1.5,"1,200",871,"$259,900","4792 Benoit St Unit 139, ","Columbus, OH 43228"
1298,Contingent,2,2.5,"1,920",871,"$293,500","6025 Canyon Creek Dr Unit 208, ","Dublin, OH 43016"
1299,Contingent,3,2,"1,737","7,405","$474,900","448 E Dunedin Rd, ","Columbus, OH 43214"
1300,Contingent,3,1,"1,302",0.9,"$230,000","2197 Watkins Rd, ","Columbus, OH 43207"
1301,For Sale,3,1,"1,308","4,356","$129,900","739 Berkeley Rd, ","Columbus, OH 43205"
1302,Contingent,3,1,"1,044","7,405","$339,900","2234 Nottingham Rd, ","Columbus, OH 43221"
1303,For Sale,3,1,"1,308","4,356","$129,900","739 Berkeley Rd, ","Columbus, OH 43205"
1304,For Sale,4,"2,400","1,307",,"$549,900","165-167 E Lincoln St, ","Columbus, OH 43215"
1305,For Sale,3,4.5,"3,000","5,663","$430,000","5569 Harvest Curve Ln, ","Canal Winchester, OH 43110"
1306,For Sale,4,3,"1,949","7,405","$529,000","2534 Northwest Blvd, ","Upper Arlington, OH 43221"
1307,Contingent,4,2,"1,384",0.3,"$229,900","1687 Brookfield Sq S, ","Columbus, OH 43229"
1308,Contingent,3,1,975,"8,276","$180,000","3590 Tremaine Rd, ","Columbus, OH 43232"
1309,Contingent,1,1,784,871,"$249,900","47 W Lincoln St, ","Columbus, OH 43215"
1310,Contingent,5,4.5,"5,036","6,970","$799,000","1063 Bryden Rd, ","Columbus, OH 43205"
1311,Contingent,1,1,770,436,"$180,000","1446 Cliff Ct Unit A31, ","Columbus, OH 43204"
1312,Contingent,4,2.5,"2,596",0.3,"$574,500","1671 Dollivor Dr, ","Columbus, OH 43235"
1313,Contingent,4,1.5,"1,424","6,970","$254,900","2640 Creekwillow Pl, ","Grove City, OH 43123"
1314,For Sale,1,1,570,0.63,"$230,000","60 E Spring St Apt 106, ","Columbus, OH 43215"
1315,Contingent,2,2,"1,760",,"$374,000","4065 Spectacle Dr, ","Columbus, OH 43230"
1316,Contingent,3,2,"1,369","8,276","$209,900","365 Sturbridge Rd, ","Columbus, OH 43228"
1317,For Sale,3,1.5,"1,348","7,405","$240,000","2744 S High St, ","Columbus, OH 43207"
1318,Contingent,3,2.5,"2,215","6,534","$476,000","1315 Durness Ct, ","Columbus, OH 43235"
1319,Contingent,4,2,"1,830","8,276","$269,900","1707 Parkgate Rd, ","Columbus, OH 43229"
1320,Contingent,2,2,"1,310",871,"$244,900","4945 Common Market Pl, ","Dublin, OH 43016"
1321,Contingent,3,2.5,"3,437",0.31,"$889,500","1837 Andover Rd, ","Upper Arlington, OH 43212"
