,Status,Beds,Baths,SQFT,Acres,Price,Address,City
259,For Sale,2,2.5,"1,524",,"$344,090","6422 Hamilton Woods Blvd N, ","Westerville, OH 43081"
260,For Sale,4,3,"1,638",0.23,"$419,000","1049 Kennington Ave, ","Columbus, OH 43220"
261,For Sale,2,2.5,"2,049",,"$413,130","6398 Hamilton Woods Blvd N, ","Westerville, OH 43081"
262,For Sale,4,2.5,"2,700","9,583","$824,990","225 Webster Park Ave, ","Columbus, OH 43214"
263,For Sale,6,"2,350",0.61,,"$260,000","256 Rumsey Rd, ","Columbus, OH 43207"
264,For Sale,3,2,"1,642","7,405","$365,000","3253 Iveswood Ct, ","Dublin, OH 43017"
265,For Sale,3,1.5,"1,040","4,356","$239,000","4517 Blue Largo Ct, ","Columbus, OH 43230"
266,For Sale,4,2.5,"1,811",,Contact For Price,"Portsmouth Plan, Villas at Renner Park Community","COLUMBUS, OH"
267,For Sale,4,2.5,"1,811",,"$379,900","1473 Koppel Way, ","Columbus, OH 43228"
268,For Sale,2,2.5,"2,049",,"$418,320","6413 Hamilton Woods Blvd S, ","Westerville, OH 43081"
269,Contingent,1,1,786,"9,148","$119,900","261 Pasadena Ave, ","Columbus, OH 43228"
270,Contingent,3,3,"1,633","1,742","$289,900","2481 Meadow Glade Dr, ","Hilliard, OH 43026"
271,Contingent,3,1.5,"2,751","7,405","$135,000","1121 Pauline Ave, ","Columbus, OH 43224"
272,Contingent,3,2,"1,640",0.23,"$312,000","312 Dunbarton Rd, ","Gahanna, OH 43230"
273,Contingent,3,3.5,"2,916","9,148","$425,900","6408 Gossamer Ct, ","Westerville, OH 43081"
274,Contingent,2,1,"1,008","5,227","$139,000","2539 Westwood Dr, ","Columbus, OH 43204"
275,Coming Soon,3,1.5,"1,370","7,405","$249,900","2903 Continental Dr, ","Reynoldsburg, OH 43068"
276,For Sale,3,2,"1,500",,Contact For Price,"Hampstead Plan, Lampton Village Community","COLUMBUS, OH"
277,Coming Soon,3,2.5,"2,716",0.34,"$389,000","1187 S Weyant Ave, ","Columbus, OH 43227"
278,For Sale,6,"2,240","7,405",,"$305,000","327 S Wayne Ave, ","Columbus, OH 43204"
279,For Sale,10,"4,228","5,663",,"$625,000","440 E 17th Ave, ","Columbus, OH 43201"
280,Contingent,3,2,"1,311","6,970","$499,000","1100 Willard Ave, ","Grandview Heights, OH 43212"
281,Contingent,4,1.5,"1,114","7,405","$199,999","3999 Nile Ave, ","Groveport, OH 43125"
282,For Sale,3,2.5,"1,488","7,405","$360,000","6032 Heritage Farms Dr, ","Hilliard, OH 43026"
283,Contingent,2,2.5,"1,900","1,307","$289,900","4280 Chaucer Ln, ","Upper Arlington, OH 43220"
